"name","source","type","year"
"SSG 08 - Hand Brake","The 2018 Inferno Collection","Souvenir",2018
"USP-S - Check Engine","The 2018 Inferno Collection","Souvenir",2018
"M4A4 - Converter","The 2018 Inferno Collection","Souvenir",2018
"MP7 - Fade","The 2018 Inferno Collection","Souvenir",2018
"P250 - Vino Primo","The 2018 Inferno Collection","Souvenir",2018
"AK-47 - Safety Net","The 2018 Inferno Collection","Souvenir",2018
"Dual Berettas - Twin Turbo","The 2018 Inferno Collection","Souvenir",2018
"SG 553 - Integrale","The 2018 Inferno Collection","Souvenir",2018
"Sawed-Off - Brake Light","The 2018 Inferno Collection","Souvenir",2018
"Nova - Mandrel","The 2018 Nuke collection","Souvenir",2018
"PP-Bizon - Facility Sketch","The 2018 Nuke collection","Souvenir",2018
"Five-seveN - Coolant","The 2018 Nuke collection","Souvenir",2018
"UMP-45 - Facility Dark","The 2018 Nuke collection","Souvenir",2018
"P250 - Facility Draft","The 2018 Nuke collection","Souvenir",2018
"Negev - Bulkhead","The 2018 Nuke collection","Souvenir",2018
"Galil AR - Cold Fusion","The 2018 Nuke collection","Souvenir",2018
"M4A4 - Mainframe","The 2018 Nuke collection","Souvenir",2018
"MP7 - Motherboard","The 2018 Nuke collection","Souvenir",2018
"P90 - Facility Negative","The 2018 Nuke collection","Souvenir",2018
"AWP - Acheron","The 2018 Nuke collection","Souvenir",2018
"MP5-SD - Co-Processor","The 2018 Nuke collection","Souvenir",2018
"AUG - Random Access","The 2018 Nuke collection","Souvenir",2018
"MAG-7 - Core Breach","The 2018 Nuke collection","Souvenir",2018
"Glock-18 - Nuclear Garden","The 2018 Nuke collection","Souvenir",2018
"M4A1-S - Control Panel","The 2018 Nuke collection","Souvenir",2018
"Tec-9 - Remote Control","The 2018 Nuke collection","Souvenir",2018
"P250 - Exchanger","The 2018 Nuke collection","Souvenir",2018
"MP5-SD - Lab Rats","The Blacksite Collection","Souvenir",2018
"CZ75-Auto - Indigo","The Canals Collection","only standard",2019
"SCAR-20 - Stone Mosaico","The Canals Collection","only standard",2019
"R8 Revolver - Canal Spray","The Canals Collection","only standard",2019
"AUG - Navy Murano","The Canals Collection","only standard",2019
"Negev - Boroque Sand","The Canals Collection","only standard",2019
"FAMAS | Crypsis","Prisma Case","StatTrak",2019
"AK-47 | Uncharted","Prisma Case","StatTrak",2019
"MAC-10 | Whitefish","Prisma Case","StatTrak",2019
"Galil AR | Akoben","Prisma Case","StatTrak",2019
"MP7 | Mischief","Prisma Case","StatTrak",2019
"P250 | Verdigris","Prisma Case","StatTrak",2019
"P90 | Off World","Prisma Case","StatTrak",2019
"AWP | Atheris","Prisma Case","StatTrak",2019
"Tec-9 | Bamboozle","Prisma Case","StatTrak",2019
"Desert Eagle | Light Rail","Prisma Case","StatTrak",2019
"MP5-SD | Gauss","Prisma Case","StatTrak",2019
"R8 Revolver | Skull Crusher","Prisma Case","StatTrak",2019
"UMP-45 | Moonrise","Prisma Case","StatTrak",2019
"MP7 | Neon Ply","Shattered Web Case","StatTrak",2019
"Tec-9 | Decimator","Shattered Web Case","StatTrak",2019
"P2000 | Obsidian","Shattered Web Case","StatTrak",2019
"AUG | Arctic Wolf","Shattered Web Case","StatTrak",2019
"AK-47 | Rat Rod","Shattered Web Case","StatTrak",2019
"PP-Bizon | Embargo","Shattered Web Case","StatTrak",2019
"M249 | Warbird","Shattered Web Case","StatTrak",2019
"SCAR-20 | Torn","Shattered Web Case","StatTrak",2019
"Dual Berettas | Balance","Shattered Web Case","StatTrak",2019
"SSG 08 | Bloodshot","Shattered Web Case","StatTrak",2019
"AWP | Containment Breach","Shattered Web Case","StatTrak",2019
"MAC-10 | Stalker","Shattered Web Case","StatTrak",2019
"SG 553 | Colony IV","Shattered Web Case","StatTrak",2019
"Five-SeveN - Crimson Blossom","The St. Marc Collection","only standard",2019
"AK-47 - Wild Lotus","The St. Marc Collection","only standard",2019
"MP9 - Wild Lily","The St. Marc Collection","only standard",2019
"SSG 08 - Sea Calico","The St. Marc Collection","only standard",2019
"AUG - Midnight Lily","The St. Marc Collection","only standard",2019
"Glock-18 - Synth Leaf","The St. Marc Collection","only standard",2019
"MP7 - Teal Blossom","The St. Marc Collection","only standard",2019
"FAMAS - Sundown","The St. Marc Collection","only standard",2019
"UMP-45 - Day Lily","The St. Marc Collection","only standard",2019
"M4A4 - Dark Blossom","The St. Marc Collection","only standard",2019
"XM1014 - Banana Leaf","The St. Marc Collection","only standard",2019
"Tec-9 - Rust Leaf","The St. Marc Collection","only standard",2019
"P90 - Sunset Lily","The St. Marc Collection","only standard",2019
"R8 Revolver | Memento","Shattered Web Case","StatTrak",2019
"G3SG1 | Black Sand","Shattered Web Case","StatTrak",2019
"Nova | Plume","Shattered Web Case","StatTrak",2019
"MP5-SD | Acid Wash","Shattered Web Case","StatTrak",2019
"FAMAS | Commemoration","CS20 Case","StatTrak",2019
"AWP | Wildfire","CS20 Case","StatTrak",2019
"AUG | Death by Puppy","CS20 Case","StatTrak",2019
"P90 | Nostalgia","CS20 Case","StatTrak",2019
"MP9 | Hydra","CS20 Case","StatTrak",2019
"M249 - Jungle","The St. Marc Collection","only standard",2019
"MP5-SD - Bamboo Garden","The St. Marc Collection","only standard",2019
"PP-Bizon - Seabird","The St. Marc Collection","only standard",2019
"Sawed-Off - Jungle Thicket","The St. Marc Collection","only standard",2019
"MAC-10 - Copper Borre","The Norse Collection","only standard",2019
"AWP - Gungnir","The Norse Collection","only standard",2019
"Negev - Mjölnir","The Norse Collection","only standard",2019
"Desert Eagle - Emerald Jörmungandr","The Norse Collection","only standard",2019
"P90 - Astral Jörmungandr","The Norse Collection","only standard",2019
"AUG - Flame Jörmungandr","The Norse Collection","only standard",2019
"CZ75-Auto - Emerald Quartz","The Norse Collection","only standard",2019
"SCAR-20 - Brass","The Norse Collection","only standard",2019
"XM1014 - Frost Borre","The Norse Collection","only standard",2019
"Dual Berettas - Pyre","The Norse Collection","only standard",2019
"M4A1-S - Moss Quartz","The Norse Collection","only standard",2019
"MAG-7 - Chainmail","The Norse Collection","only standard",2019
"SSG 08 - Red Stone","The Norse Collection","only standard",2019
"UMP-45 | Plastique","CS20 Case","StatTrak",2019
"P250 | Inferno","CS20 Case","StatTrak",2019
"Five-SeveN | Buddy","CS20 Case","StatTrak",2019
"MP5-SD | Agent","CS20 Case","StatTrak",2019
"M249 | Aztec","CS20 Case","StatTrak",2019
"Glock-18 | Sacrifice","CS20 Case","StatTrak",2019
"FAMAS | Decommissioned","CS20 Case","StatTrak",2019
"SCAR-20 | Assault","CS20 Case","StatTrak",2019
"MAG-7 | Popdog","CS20 Case","StatTrak",2019
"Galil AR - Tornado","The Norse Collection","only standard",2019
"FAMAS - Night Borre","The Norse Collection","only standard",2019
"MP7 - Scorched","The Norse Collection","only standard",2019
"SG 553 - Barricade","The Norse Collection","only standard",2019
"USP-S - Pathfinder","The Norse Collection","only standard",2019
"SSG 08 - Orange Filigree","The Canals Collection","only standard",2019
"AWP - The Prince","The Canals Collection","only standard",2019
"MAG-7 - Cinquedea","The Canals Collection","only standard",2019
"MP9 - Stained Glass","The Canals Collection","only standard",2019
"MAC-10 - Red Filigree","The Canals Collection","only standard",2019
"Nova - Baroque Orange","The Canals Collection","only standard",2019
"Dual Berettas - Emerald","The Canals Collection","only standard",2019
"G3SG1 - Violet Murano","The Canals Collection","only standard",2019
"P90 - Baroque Red","The Canals Collection","only standard",2019
"AK-47 - Baroque Purple","The Canals Collection","only standard",2019
"SG 553 - Candy Apple","The Canals Collection","only standard",2019
"Tec-9 - Orange Murano","The Canals Collection","only standard",2019
"MAC-10 | Classic Crate","CS20 Case","StatTrak",2019
"Tec-9 | Flash Out","CS20 Case","StatTrak",2019
"Dual Berettas | Elite 1.6","CS20 Case","StatTrak",2019
"M4A4 | The Emperor","Prisma Case","StatTrak",2019
"Five-SeveN | Angry Mob","Prisma Case","StatTrak",2019
"XM1014 | Incinegator","Prisma Case","StatTrak",2019
"AUG | Momentum","Prisma Case","StatTrak",2019
"P250 - Dark Filigree","The Canals Collection","only standard",2019
"P250 - Bengal Tiger","The Havoc Collection","only standard",2020
"CZ75-Auto | Vendetta","Operation Broken Fang Case","StatTrak",2020
"P90 | Cocoa Rampage","Operation Broken Fang Case","StatTrak",2020
"G3SG1 | Digital Mesh","Operation Broken Fang Case","StatTrak",2020
"Galil AR | Vandal","Operation Broken Fang Case","StatTrak",2020
"P250 | Contaminant","Operation Broken Fang Case","StatTrak",2020
"M249 | Deep Relief","Operation Broken Fang Case","StatTrak",2020
"MP5-SD | Condition Zero","Operation Broken Fang Case","StatTrak",2020
"AWP | Exoskeleton","Operation Broken Fang Case","StatTrak",2020
"Dual Berettas | Dezastre","Operation Broken Fang Case","StatTrak",2020
"Nova | Clear Polymer","Operation Broken Fang Case","StatTrak",2020
"SSG 08 | Parallax","Operation Broken Fang Case","StatTrak",2020
"UMP-45 | Gold Bismuth","Operation Broken Fang Case","StatTrak",2020
"Five-SeveN | Fairy Tale","Operation Broken Fang Case","StatTrak",2020
"M4A4 | Cyber Security","Operation Broken Fang Case","StatTrak",2020
"USP-S | Monster Mashup","Operation Broken Fang Case","StatTrak",2020
"M4A1-S | Printstream","Operation Broken Fang Case","StatTrak",2020
"Glock-18 | Neo-Noir","Operation Broken Fang Case","StatTrak",2020
"Nova - Army Sheen","The Ancient Collection","Souvenir",2020
"P90 - Ancient Earth","The Ancient Collection","Souvenir",2020
"SG 553 - Lush Ruins","The Ancient Collection","Souvenir",2020
